VCD info: dumpfile waveform.vcd opened for output.
combinational comparator module test:
                 406   A:1  B:0  LGN:0  EQ:0
                 408   A:1  B:1  LGN:0  EQ:0
                 410   A:1  B:0  LGN:0  EQ:0
                 412   A:0  B:1  LGN:0  EQ:0
                 414   A:0  B:0  LGN:0  EQ:0
                 416   A:1  B:1  LGN:0  EQ:0
                 418   A:1  B:1  LGN:0  EQ:0
                 420   A:1  B:0  LGN:0  EQ:0
                 422   A:1  B:1  LGN:0  EQ:0
                 424   A:1  B:1  LGN:0  EQ:0
                 426   A:1  B:1  LGN:0  EQ:0
